# x_m,y_m,w_tr_right_m,w_tr_left_m
65.75000000000003,37.95,0.7850159234053793,14.915302544702204
53.00000000000001,37.95,0.7893826701923472,14.998270733654596
43.25000000000003,38.20000000000001,0.7537406715840668,14.321072760097268
31.25,38.7,0.7537406715840668,14.321072760097268
19.250000000000007,39.2,0.7537406715840668,14.321072760097268
7.250000000000014,39.7,0.7537406715840668,14.321072760097268
-4.749999999999979,40.199999999999996,0.7537406715840668,14.321072760097268
-10.749999999999993,40.45,0.9905806378079476,18.821032118351003
-10.999999999999979,46.20000000000001,0.7158910531638178,13.601930010112536
-10.999999999999979,58.45,0.7215434844830906,13.709326205178721
-10.749999999999993,70.95,0.7591113225344488,14.423115128154526
-10.499999999999972,82.95,0.7988272654335229,15.177718043236935
-10.499999999999972,88.94999999999999,0.8173891362135909,15.530393588058224
-10.249999999999986,101.44999999999999,0.8223442101699263,15.624539993228598
-9.499999999999993,112.2,0.756637297521078,14.376108652900479
-8.999999999999986,123.45,0.7040063920164363,13.376121448312288
-9.249999999999972,125.7,0.7403546447480425,14.066738250212806
-9.249999999999972,134.45,0.8070006195784487,15.333011771990524
-8.499999999999979,137.2,0.70178344238091,13.333885405237288
-8.249999999999993,149.95000000000002,0.7254309064273454,13.783187222119562
-7.749999999999986,162.7,0.7267220926874317,13.807719761061202
-7.249999999999979,175.7,0.7267220926874317,13.807719761061202
-6.749999999999972,188.95,0.7254309064273454,13.783187222119562
-6.25,199.95000000000002,0.7591113225344488,14.423115128154526
-5.749999999999993,215.95000000000002,0.7786205751198718,14.793790927277565
-5.249999999999986,227.45000000000002,0.7786205751198718,14.793790927277565
-5.0,238.95,0.7830229881682913,14.877436775197534
-4.499999999999993,255.95000000000002,0.7701460900374681,14.632775710711893
-3.999999999999986,264.45,0.7988272654335229,15.177718043236935
-3.4999999999999787,269.45,0.8634958019585272,16.406420237212014
-3.4999999999999787,272.20000000000005,1.0,19.0
-3.4999999999999787,273.7,1.0965856099730655,20.835126589488244
1.5000000000000213,273.7,0.8077747210701756,15.347719700333334
6.750000000000007,273.7,0.7830229881682913,14.877436775197534
17.5,273.45000000000005,0.8003905296791061,15.207420063903015
26.50000000000002,272.45,0.7250000000000001,13.775
38.25000000000003,271.95,0.7288689868556626,13.848510750257589
50.25000000000002,271.45,0.7458216945088151,14.170612195667484
62.00000000000003,271.45,0.7668930825088984,14.57096856766907
77.00000000000003,270.7,0.7516648189186456,14.281631559454263
83.50000000000001,270.7,1.0259142264341596,19.492370302249032
84.75000000000001,269.70000000000005,1.0502975768800002,19.955653960720003
84.50000000000003,266.70000000000005,0.873212459828649,16.59103673674433
84.50000000000003,263.7,0.8015609770940699,15.229658564787329
83.50000000000001,262.45,0.7040063920164363,13.376121448312288
83.25000000000003,248.95,0.7254309064273454,13.783187222119562
83.0,235.7,0.75,14.25
82.75000000000003,222.45000000000002,0.7754031209635412,14.732659298307283
82.75000000000003,209.45,0.7786205751198718,14.793790927277565
82.00000000000003,206.70000000000002,0.7280109889280518,13.832208789632984
82.00000000000003,196.95,0.7701460900374681,14.632775710711893
82.25000000000001,193.95,0.7850159234053793,14.915302544702204
81.75,181.20000000000002,0.775,14.725
81.25,168.70000000000002,0.7814249804043892,14.847074627683394
81.00000000000001,156.45,0.7830229881682913,14.877436775197534
80.75000000000003,150.7,0.8050621094052309,15.296180078699386
80.25000000000003,138.2,0.7668930825088984,14.57096856766907
79.75000000000001,125.95,0.7356969484781081,13.978242021084052
79.75000000000001,115.7,0.8143248737451165,15.472172601157212
80.0,112.45000000000002,0.8035079339994099,15.266650745988786
79.25,102.45000000000002,0.7754031209635412,14.732659298307283
79.50000000000003,99.7,0.75,14.25
79.75000000000001,97.2,0.8143248737451165,15.472172601157212
79.00000000000003,87.95,0.7701460900374681,14.632775710711893
78.75,85.7,0.7267220926874317,13.807719761061202
78.25000000000003,73.45,0.7288689868556626,13.848510750257589
77.75000000000003,61.19999999999999,0.7520804478245662,14.289528508666757
77.75000000000003,48.949999999999996,0.7945124291035353,15.095736152967168
77.5,43.45,0.7352720584926371,13.970169111360104
77.5,37.95,1.0443299287102712,19.84226864549515
73.0,37.95,0.8143248737451165,15.472172601157212
65.75000000000003,37.95,0.7850159234053793,14.915302544702204
