# x_m,y_m,w_tr_right_m,w_tr_left_m
66.75,37.7,7.504165509901818,7.504165509901818
65.0,37.7,7.5,7.5
63.500000000000014,37.7,7.5,7.5
62.00000000000003,37.7,7.5,7.5
60.50000000000001,37.7,7.5,7.5
59.50000000000003,37.7,7.566372975210779,7.566372975210779
58.75,37.7,7.7014609003746815,7.7014609003746815
58.00000000000001,37.7,7.905694150420949,7.905694150420949
56.50000000000002,38.20000000000001,7.905694150420949,7.905694150420949
55.25000000000002,38.20000000000001,8.385254915624213,8.385254915624213
46.50000000000002,38.45,8.31038506929733,8.31038506929733
45.50000000000001,38.45,8.00390529679106,8.00390529679106
44.50000000000003,38.45,7.814249804043892,7.814249804043892
43.500000000000014,38.45,7.75,7.75
41.000000000000014,38.7,7.516648189186455,7.516648189186455
37.75000000000002,38.7,7.504165509901818,7.504165509901818
34.750000000000014,38.7,7.504165509901818,7.504165509901818
31.750000000000007,38.7,7.504165509901818,7.504165509901818
28.75,38.7,7.504165509901818,7.504165509901818
27.250000000000014,38.7,7.603453162872775,7.603453162872775
23.25000000000003,39.2,7.504165509901818,7.504165509901818
21.50000000000002,39.2,7.5,7.5
19.750000000000014,39.2,7.504165509901818,7.504165509901818
18.000000000000007,39.2,7.516648189186455,7.516648189186455
17.250000000000014,39.2,7.504165509901818,7.504165509901818
15.500000000000007,39.2,7.5,7.5
13.75,39.2,7.504165509901818,7.504165509901818
13.000000000000007,39.2,7.516648189186455,7.516648189186455
12.5,39.45000000000001,7.318640584152224,7.318640584152224
12.000000000000028,39.45000000000001,7.403546447480425,7.403546447480425
9.250000000000007,39.7,7.504165509901818,7.504165509901818
8.75,39.7,7.504165509901818,7.504165509901818
7.000000000000028,39.7,7.516648189186455,7.516648189186455
6.500000000000021,39.7,7.5,7.5
6.25,39.7,7.504165509901818,7.504165509901818
1.25,39.7,7.504165509901818,7.504165509901818
-2.2499999999999787,39.7,7.5374067158406675,7.5374067158406675
-5.499999999999972,40.199999999999996,7.6485292703891785,7.6485292703891785
-6.499999999999986,40.199999999999996,7.905694150420949,7.905694150420949
-7.249999999999979,40.199999999999996,8.173891362135908,8.173891362135908
-8.249999999999993,40.199999999999996,8.620469824783333,8.620469824783333
-8.999999999999986,40.199999999999996,9.013878188659973,9.013878188659973
-10.0,40.199999999999996,9.604686356149273,9.604686356149273
-10.749999999999993,40.45,9.905806378079475,9.905806378079475
-10.749999999999993,41.95,8.8670739254841,8.8670739254841
-10.749999999999993,43.45,7.976528066771909,7.976528066771909
-10.749999999999993,44.95000000000001,7.2886898685566255,7.2886898685566255
-10.749999999999993,46.449999999999996,6.864765108872991,6.864765108872991
-10.749999999999993,47.95,6.754628043053148,6.754628043053148
-10.999999999999979,49.2,7.000000000000001,7.000000000000001
-10.999999999999979,49.7,7.0178344238090995,7.0178344238090995
-10.999999999999979,51.19999999999999,7.000000000000001,7.000000000000001
-11.25,52.44999999999999,7.254309064273454,7.254309064273454
-11.25,52.95,7.254309064273454,7.254309064273454
-11.25,54.45,7.254309064273454,7.254309064273454
-11.25,55.95,7.254309064273454,7.254309064273454
-11.25,56.449999999999996,7.254309064273454,7.254309064273454
-11.25,57.95,7.254309064273454,7.254309064273454
-11.25,58.45,7.254309064273454,7.254309064273454
-10.999999999999979,58.949999999999996,7.040063920164362,7.040063920164362
-10.749999999999993,65.7,7.267220926874317,7.267220926874317
-10.749999999999993,71.7,7.267220926874317,7.267220926874317
-10.499999999999972,76.95,7.504165509901818,7.504165509901818
-10.499999999999972,79.45,7.504165509901818,7.504165509901818
-10.499999999999972,81.20000000000002,7.5,7.5
-10.499999999999972,83.94999999999999,7.504165509901818,7.504165509901818
-10.499999999999972,84.95000000000002,7.5374067158406675,7.5374067158406675
-10.499999999999972,85.95,7.7014609003746815,7.7014609003746815
-10.249999999999986,90.45,7.7540312096354125,7.7540312096354125
-10.249999999999986,91.44999999999999,7.786205751198718,7.786205751198718
-9.749999999999979,94.95000000000002,7.7540312096354125,7.7540312096354125
-10.0,95.19999999999999,8.0,8.0
-10.0,95.7,8.0156097709407,8.0156097709407
-10.0,96.20000000000002,8.06225774829855,8.06225774829855
-10.0,99.7,8.139410298049853,8.139410298049853
-10.0,100.19999999999999,8.06225774829855,8.06225774829855
-10.0,100.7,8.0156097709407,8.0156097709407
-10.0,101.20000000000002,8.0,8.0
-10.0,102.2,8.0,8.0
-10.0,103.45,8.00390529679106,8.00390529679106
-9.749999999999979,105.7,7.75,7.75
-9.749999999999979,107.45000000000002,7.7540312096354125,7.7540312096354125
-9.499999999999993,109.95000000000002,7.504165509901818,7.504165509901818
-9.499999999999993,112.95,7.504165509901818,7.504165509901818
-9.499999999999993,115.19999999999999,7.516648189186455,7.516648189186455
-9.249999999999972,118.70000000000002,7.75,7.75
-8.999999999999986,122.45000000000002,7.504165509901818,7.504165509901818
-8.999999999999986,122.95,7.504165509901818,7.504165509901818
-8.999999999999986,124.7,7.516648189186455,7.516648189186455
-8.999999999999986,125.19999999999999,7.5,7.5
-8.999999999999986,126.7,7.516648189186455,7.516648189186455
-8.999999999999986,127.2,7.5,7.5
-8.75,127.69999999999999,7.267220926874317,7.267220926874317
-8.999999999999986,129.20000000000002,7.5,7.5
-9.249999999999972,129.95000000000002,7.786205751198718,7.786205751198718
-9.249999999999972,130.7,7.893826701923472,7.893826701923472
-8.999999999999986,133.70000000000002,8.0,8.0
-8.999999999999986,135.45000000000002,8.00390529679106,8.00390529679106
-8.75,136.20000000000002,7.766112283504533,7.766112283504533
-8.75,140.7,7.766112283504533,7.766112283504533
-8.499999999999979,144.95000000000002,7.5374067158406675,7.5374067158406675
-7.999999999999972,150.7,7.5,7.5
-7.999999999999972,151.20000000000002,7.516648189186455,7.516648189186455
-7.999999999999972,152.95000000000002,7.504165509901818,7.504165509901818
-7.999999999999972,154.7,7.5,7.5
-7.999999999999972,156.45,7.504165509901818,7.504165509901818
-7.999999999999972,157.2,7.516648189186455,7.516648189186455
-7.999999999999972,158.95,7.504165509901818,7.504165509901818
-7.749999999999986,159.70000000000002,7.318640584152224,7.318640584152224
-7.999999999999972,160.45000000000002,7.7014609003746815,7.7014609003746815
-7.749999999999986,163.70000000000002,7.75,7.75
-7.749999999999986,165.95000000000002,7.7540312096354125,7.7540312096354125
-7.749999999999986,166.70000000000002,7.766112283504533,7.766112283504533
-7.749999999999986,167.7,7.893826701923472,7.893826701923472
-7.5,171.45,8.00390529679106,8.00390529679106
-7.249999999999979,173.95,7.7540312096354125,7.7540312096354125
-7.249999999999979,175.2,7.893826701923472,7.893826701923472
-6.749999999999972,178.95,7.7540312096354125,7.7540312096354125
-6.749999999999972,181.45,7.7540312096354125,7.7540312096354125
-6.749999999999972,183.95,7.7540312096354125,7.7540312096354125
-6.749999999999972,186.45,7.7540312096354125,7.7540312096354125
-6.749999999999972,189.20000000000002,7.75,7.75
-6.499999999999986,192.20000000000002,7.516648189186455,7.516648189186455
-6.749999999999972,192.95000000000002,7.7540312096354125,7.7540312096354125
-6.749999999999972,194.70000000000002,7.75,7.75
-6.749999999999972,196.20000000000002,7.75,7.75
-6.749999999999972,197.95000000000002,7.7540312096354125,7.7540312096354125
-6.749999999999972,198.70000000000002,7.766112283504533,7.766112283504533
-6.749999999999972,199.45,7.850159234053792,7.850159234053792
-6.499999999999986,203.70000000000002,8.0156097709407,8.0156097709407
-6.25,207.20000000000002,7.766112283504533,7.766112283504533
-6.25,210.7,7.766112283504533,7.766112283504533
-5.749999999999993,215.2,7.766112283504533,7.766112283504533
-5.499999999999972,216.95,7.603453162872775,7.603453162872775
-5.249999999999986,219.70000000000002,7.75,7.75
-5.249999999999986,220.45000000000002,7.786205751198718,7.786205751198718
-5.249999999999986,222.95000000000002,7.7540312096354125,7.7540312096354125
-5.249999999999986,223.70000000000002,7.766112283504533,7.766112283504533
-5.249999999999986,224.45,7.850159234053792,7.850159234053792
-5.249999999999986,228.45000000000002,7.850159234053792,7.850159234053792
-5.249999999999986,229.20000000000002,7.766112283504533,7.766112283504533
-5.0,229.95000000000002,7.504165509901818,7.504165509901818
-5.0,232.20000000000002,7.5,7.5
-5.0,234.95000000000002,7.504165509901818,7.504165509901818
-5.0,237.20000000000002,7.5,7.5
-5.0,238.95,7.5374067158406675,7.5374067158406675
-5.0,240.2,7.762087348130012,7.762087348130012
-4.499999999999993,244.20000000000002,7.516648189186455,7.516648189186455
-4.499999999999993,244.70000000000002,7.566372975210779,7.566372975210779
-4.499999999999993,247.95000000000002,7.5374067158406675,7.5374067158406675
-4.499999999999993,248.70000000000002,7.5,7.5
-4.499999999999993,249.20000000000002,7.516648189186455,7.516648189186455
-4.499999999999993,249.95000000000002,7.603453162872775,7.603453162872775
-4.499999999999993,253.2,7.516648189186455,7.516648189186455
-4.249999999999972,253.95,7.254309064273454,7.254309064273454
-4.249999999999972,256.45,7.254309064273454,7.254309064273454
-4.249999999999972,257.7,7.318640584152224,7.318640584152224
-3.999999999999986,260.7,7.516648189186455,7.516648189186455
-3.999999999999986,261.95,7.7014609003746815,7.7014609003746815
-3.4999999999999787,265.2,7.566372975210779,7.566372975210779
-3.75,266.2,8.00390529679106,8.00390529679106
-3.4999999999999787,268.2,8.246211251235321,8.246211251235321
-3.4999999999999787,269.20000000000005,8.54400374531753,8.54400374531753
-3.4999999999999787,270.2,8.94427190999916,8.94427190999916
-3.4999999999999787,271.2,9.433981132056603,9.433981132056603
-3.4999999999999787,272.20000000000005,10.0,10.0
-0.9999999999999787,272.45,8.325412902673357,8.325412902673357
1.5000000000000213,272.7,7.158910531638178,7.158910531638178
4.250000000000007,272.95000000000005,6.754628043053148,6.754628043053148
8.75,272.95000000000005,7.254309064273454,7.254309064273454
13.500000000000014,273.2,7.516648189186455,7.516648189186455
19.750000000000014,273.2,8.00390529679106,8.00390529679106
20.0,272.95000000000005,7.75,7.75
20.25000000000002,272.95000000000005,7.7540312096354125,7.7540312096354125
20.500000000000007,272.95000000000005,7.766112283504533,7.766112283504533
22.00000000000003,272.95000000000005,7.766112283504533,7.766112283504533
22.250000000000014,272.95000000000005,7.7540312096354125,7.7540312096354125
