# x_m,y_m,w_tr_right_m,w_tr_left_m
-119.99999999999993,1204.5,23.954383732419416,455.13329091596887
-182.49999999999994,1219.5,25.310570914145742,480.90084736876906
-225.0,1257.0,25.10478042126639,476.9908280040613
-257.49999999999994,1314.5,23.929584200315727,454.66209980599876
-302.4999999999999,1404.5000000000002,23.36931749110359,444.01703233096816
-327.4999999999999,1474.5000000000002,23.40138884767313,444.6263881057894
-344.99999999999994,1579.5000000000002,22.238761206506087,422.53646292361566
-344.99999999999994,1674.5000000000002,22.06949251795338,419.3203578411142
-347.4999999999998,1844.5,21.751436734156208,413.2772979489679
-350.0,1964.5,20.50152433357091,389.52896233784725
-344.99999999999994,2067.0,20.056171120131584,381.0672512825
-347.4999999999998,2222.0,18.80990430597668,357.3881818135569
-347.4999999999998,2334.5,19.764235376052373,375.5204721449951
-332.49999999999994,2384.5,20.59429532661898,391.2916112057605
-287.5,2484.5,21.751436734156208,413.2772979489679
-242.50000000000006,2547.0,22.83774288321856,433.91711478115263
-175.0,2574.5,21.466543736708058,407.86433099745307
-112.5,2574.5,19.225633929730378,365.28704466487716
-52.49999999999986,2599.5,20.751505969447134,394.2786134194955
47.50000000000014,2599.5,20.78761650598741,394.96471361376075
110.00000000000014,2602.0,22.299103120977758,423.6829592985774
177.50000000000023,2574.5,22.69636534778201,431.2309416078582
222.50000000000014,2549.5,23.07866980568854,438.4947263080823
257.5000000000003,2499.5,22.150056433336687,420.8510722333971
290.0000000000002,2419.5,20.91201807573817,397.3283434390253
310.0000000000001,2337.0,19.90602923739438,378.21455551049326
315.0000000000002,2212.0,19.059118552545918,362.12325249837244
315.0000000000002,2102.0,18.66815470259447,354.69493934929494
302.5000000000002,2014.5,17.251811499086116,327.78441848263617
302.5000000000002,1917.0000000000002,17.50892629489313,332.66959960296947
292.50000000000006,1767.0000000000002,17.778146697561027,337.7847872536595
290.0000000000002,1699.5000000000002,17.714753738056874,336.5803210230806
275.0,1517.0000000000002,19.1637678967368,364.1115900379992
272.5000000000001,1464.5,20.288543565273486,385.48232774019624
242.50000000000006,1399.5000000000002,20.751505969447134,394.2786134194955
205.00000000000006,1347.0,21.213203435596427,403.05086527633205
132.50000000000028,1274.5000000000002,22.273863607376253,423.20340854014876
90.00000000000021,1247.0,21.783020910791965,413.87739730504734
45.000000000000284,1217.0,22.610838109190027,429.60592407461047
-4.999999999999716,1209.5,22.339706802015105,424.45442923828693
-119.99999999999993,1204.5,23.954383732419416,455.13329091596887
