#x_m,y_m,w_tr_left_m,w_tr_right_m
-38.08918731835508,10.315493646923752,0.5,0.5
-38.06926670120017,10.31371347521284,0.5,0.5
-38.06926670120017,10.31371347521284,0.5,0.5
-38.04935482802468,10.311838027043423,0.5,0.5
-38.04935482802468,10.311838027043423,0.5,0.5
-38.04935482802468,10.311838027043423,0.5,0.5
-38.02944212791536,10.309971379356385,0.5,0.5
-38.02944212791536,10.309971379356385,0.5,0.5
-38.00953673643866,10.308028343219982,0.5,0.5
-38.00953673643866,10.308028343219982,0.5,0.5
-38.00953673643866,10.308028343219982,0.5,0.5
-37.98962944983653,10.30610482055483,0.5,0.5
-37.98962944983653,10.30610482055483,0.5,0.5
-37.96972904333396,10.3041113762068,0.5,0.5
-37.96972904333396,10.3041113762068,0.5,0.5
-37.96972904333396,10.3041113762068,0.5,0.5
-37.94982628785317,10.302141522496722,0.5,0.5
-37.94982628785317,10.302141522496722,0.5,0.5
-37.929930299248106,10.300104456757774,0.5,0.5
-37.929930299248106,10.300104456757774,0.5,0.5
-37.929930299248106,10.300104456757774,0.5,0.5
-37.91003172445017,10.298092810556943,0.5,0.5
-37.91003172445017,10.298092810556943,0.5,0.5
-37.890139924364625,10.296015242553203,0.5,0.5
-37.890139924364625,10.296015242553203,0.5,0.5
-37.890139924364625,10.296015242553203,0.5,0.5
-37.87024539341342,10.293963989835687,0.5,0.5
-37.87024539341342,10.293963989835687,0.5,0.5
-37.8503577000346,10.291847471096307,0.5,0.5
-37.8503577000346,10.291847471096307,0.5,0.5
-37.8503577000346,10.291847471096307,0.5,0.5
-37.83046717585604,10.28975772292249,0.5,0.5
-37.83046717585604,10.28975772292249,0.5,0.5
-37.81056684655267,10.28776350799739,0.5,0.5
-37.81056684655267,10.28776350799739,0.5,0.5
-37.81056684655267,10.28776350799739,0.5,0.5
-37.79066737465792,10.285760755421089,0.5,0.5
-37.79066737465792,10.285760755421089,0.5,0.5
-37.77076034695106,10.28383455515366,0.5,0.5
-37.77076034695106,10.28383455515366,0.5,0.5
-37.77076034695106,10.28383455515366,0.5,0.5
-37.75085520382891,10.28188897634559,0.5,0.5
-37.75085520382891,10.28188897634559,0.5,0.5
-37.730943339597374,10.280013433103047,0.5,0.5
-37.730943339597374,10.280013433103047,0.5,0.5
-37.730943339597374,10.280013433103047,0.5,0.5
-37.711033705819446,10.278114358992784,0.5,0.5
-37.711033705819446,10.278114358992784,0.5,0.5
-37.691117766613424,10.276282593394694,0.5,0.5
-37.691117766613424,10.276282593394694,0.5,0.5
-37.691117766613424,10.276282593394694,0.5,0.5
-37.67120418035121,10.274425423004654,0.5,0.5
-37.67120418035121,10.274425423004654,0.5,0.5
