# x_m,y_m, x_i, y_i
-1.4999999999999858,8.700000000000006,367,355
15.500000000000007,41.20000000000001,401,290
13.500000000000014,65.19999999999999,397,242
6.500000000000021,85.19999999999999,383,202
-26.499999999999986,93.70000000000002,317,185
-73.5,87.69999999999999,223,197
-96.5,74.2,177,224
-88.5,57.2,193,258
-64.5,53.69999999999999,241,265
-1.4999999999999858,8.700000000000006,367,355
