# x_m,y_m, x_i, y_i
7.500000000000018,7.400000000000002,217,124
49.0,1.4000000000000057,300,112
84.0,6.400000000000006,370,122
93.00000000000003,41.900000000000006,388,193
90.50000000000003,100.9,383,311
56.5,93.9,315,297
47.000000000000014,42.9,296,195
4.500000000000011,23.400000000000006,211,156
7.500000000000018,7.400000000000002,217,124
