# x_m,y_m,w_tr_right_m,w_tr_left_m
5.0,12.200000000000003,16.84280261714184,16.84280261714184
-8.999999999999986,14.45,15.337535656030276,15.337535656030276
-21.499999999999986,15.700000000000006,18.19450466487066,18.19450466487066
-29.74999999999998,26.200000000000006,17.046993869888027,17.046993869888027
-34.74999999999998,44.95000000000001,15.001333274079341,15.001333274079341
-34.49999999999999,66.95,16.00124995117569,16.00124995117569
-34.74999999999998,84.45,17.19767426136453,17.19767426136453
-34.49999999999999,110.45,17.60113632695344,17.60113632695344
-33.00000000000001,124.7,18.85099466871709,18.85099466871709
-27.5,138.45,19.192706948213427,19.192706948213427
-20.500000000000007,149.45,20.646549348498894,20.646549348498894
-7.749999999999986,151.95,18.38477631085024,18.38477631085024
4.500000000000028,150.7,18.088670487352022,18.088670487352022
13.000000000000007,145.2,17.82133552795637,17.82133552795637
23.75,133.45,16.69730517179344,16.69730517179344
27.75000000000002,120.95,15.556349186104047,15.556349186104047
29.250000000000007,95.45,14.235167719419398,14.235167719419398
30.0,71.20000000000002,13.600000000000001,13.600000000000001
31.25,51.449999999999996,15.033296378372908,15.033296378372908
30.75000000000003,34.2,16.763054614240215,16.763054614240215
25.25000000000002,21.200000000000006,18.027756377319946,18.027756377319946
5.0,12.200000000000003,16.84280261714184,16.84280261714184
