# x_m,y_m,w_tr_right_m,w_tr_left_m
8.500000000000005,-1.9999999999999996,5.147815070493501,8.236504112789602
-14.000000000000004,5.0,5.344389581607988,8.55102333057278
-29.0,9.000000000000004,6.726812023536856,10.76289923765897
-36.75,20.0,5.8909358339740905,9.425497334358544
-31.5,30.500000000000007,4.16082924427331,6.6573267908372955
-26.0,42.0,8.035079339994098,12.856126943990558
-16.0,37.75,7.054475529761231,11.28716084761797
7.999999999999998,27.750000000000004,6.852235036832873,10.963576058932597
30.000000000000007,20.500000000000004,2.7613402542968153,4.418144406874904
40.75,15.750000000000002,4.304793839430641,6.887670143089025
39.5,4.500000000000002,4.5069390943299865,7.211102550927979
28.0,-0.7499999999999996,3.125,5.0
8.500000000000005,-1.9999999999999996,5.147815070493501,8.236504112789602
